,Customer ID,Gender,Age,Income (USD/Month)
0,29290,Male,28,10813
1,27703,Male,27,9237
2,28712,Male,53,11242
3,28020,Male,23,23327
4,27182,Male,33,8536
5,27318,Male,25,13984
6,33788,Male,23,23788
7,34106,Male,19,19980
8,59799,Male,33,19271
9,57982,Male,57,5068
10,58774,Male,20,23602
11,58627,Male,28,27338
12,59007,Male,63,6683
13,58215,Male,25,6862
14,59372,Male,53,4912
15,57950,Male,58,16997
16,59533,Male,29,17520
17,58346,Male,27,21650
18,58925,Male,38,26550
19,58551,Male,25,21734
20,59804,Male,31,4550
21,57200,Male,23,3268
22,57931,Male,40,5666
23,3077,Male,22,16759
24,4734,Male,33,30608
25,4004,Male,18,3896
26,5528,Male,34,14974
27,5785,Male,21,11230
28,3714,Male,33,4521
29,3746,Male,24,2371
30,4289,Male,19,28719
31,5777,Male,24,28850
32,3571,Male,44,15166
33,4779,Male,27,6416
34,5734,Male,23,22475
