,Company,City,KM Travelled,Price Charged,Cost of Trip,Transaction ID,Customer ID,Gender,Age,Payment Mode,Income (USD/Month)
0,Pink Cab,ATLANTA GA,30.45,370.95,313.635,10000011,29290,Male,28,Card,10813
1,Pink Cab,ATLANTA GA,28.62,358.52,334.854,10000012,27703,Male,27,Card,9237
2,Pink Cab,ATLANTA GA,9.04,125.2,97.632,10000013,28712,Male,53,Cash,11242
3,Pink Cab,ATLANTA GA,33.17,377.4,351.602,10000014,28020,Male,23,Cash,23327
4,Pink Cab,ATLANTA GA,8.73,114.62,97.776,10000015,27182,Male,33,Card,8536
5,Pink Cab,ATLANTA GA,6.06,72.43,63.024,10000016,27318,Male,25,Cash,13984
6,Pink Cab,AUSTIN TX,44.0,576.15,475.2,10000017,33788,Male,23,Card,23788
7,Pink Cab,AUSTIN TX,35.65,466.1,377.89,10000018,34106,Male,19,Card,19980
8,Pink Cab,BOSTON MA,14.4,191.61,146.88,10000019,59799,Male,33,Cash,19271
9,Pink Cab,BOSTON MA,10.89,156.98,113.256,10000020,57982,Male,57,Cash,5068
10,Pink Cab,BOSTON MA,39.6,570.83,475.2,10000021,58774,Male,20,Cash,23602
11,Pink Cab,BOSTON MA,21.8,317.27,220.18,10000022,58627,Male,28,Card,27338
12,Pink Cab,BOSTON MA,12.0,158.01,134.4,10000023,59007,Male,63,Card,6683
13,Pink Cab,BOSTON MA,32.67,470.94,392.04,10000024,58215,Male,25,Cash,6862
14,Pink Cab,BOSTON MA,25.52,360.79,298.584,10000025,59372,Male,53,Cash,4912
15,Pink Cab,BOSTON MA,15.54,234.78,169.386,10000026,57950,Male,58,Cash,16997
16,Pink Cab,BOSTON MA,6.65,101.39,76.475,10000027,59533,Male,29,Card,17520
17,Pink Cab,BOSTON MA,34.22,498.02,407.218,10000028,58346,Male,27,Cash,21650
18,Pink Cab,BOSTON MA,21.34,324.21,226.204,10000029,58925,Male,38,Card,26550
19,Pink Cab,BOSTON MA,41.3,646.06,454.3,10000030,58551,Male,25,Card,21734
20,Pink Cab,BOSTON MA,1.96,27.71,20.776,10000031,59804,Male,31,Card,4550
21,Pink Cab,BOSTON MA,13.44,193.74,145.152,10000032,57200,Male,23,Card,3268
22,Pink Cab,BOSTON MA,23.4,295.15,259.74,10000033,57931,Male,40,Cash,5666
23,Pink Cab,CHICAGO IL,23.2,396.73,278.4,10000034,3077,Male,22,Cash,16759
24,Pink Cab,CHICAGO IL,4.48,55.27,51.52,10000035,4734,Male,33,Card,30608
25,Pink Cab,CHICAGO IL,37.76,541.76,407.808,10000036,4004,Male,18,Card,3896
26,Pink Cab,CHICAGO IL,14.56,191.33,171.808,10000037,5528,Male,34,Card,14974
27,Pink Cab,CHICAGO IL,39.55,540.93,454.825,10000038,5785,Male,21,Card,11230
28,Pink Cab,CHICAGO IL,6.66,95.55,68.598,10000039,3714,Male,33,Cash,4521
29,Pink Cab,CHICAGO IL,37.05,447.12,381.615,10000040,3746,Male,24,Card,2371
30,Pink Cab,CHICAGO IL,35.02,598.43,406.232,10000041,4289,Male,19,Card,28719
31,Pink Cab,CHICAGO IL,9.09,129.2,98.172,10000042,5777,Male,24,Cash,28850
32,Pink Cab,CHICAGO IL,41.2,628.02,482.04,10000043,3571,Male,44,Card,15166
33,Pink Cab,CHICAGO IL,24.2,330.99,266.2,10000044,4779,Male,27,Cash,6416
34,Pink Cab,CHICAGO IL,3.24,48.04,33.696,10000045,5734,Male,23,Card,22475
